# galuboy patch-array antenna pattern
# N=16  fov_in=50.0  fov_out=70.0  floor=-20.0 dB  G_max=12.04 dBi
# az/el are offsets from boresight in degrees.
az_deg,el_deg,gain_dbi
-145,-20,-20.000
-145,-15,-20.000
-145,-10,-20.000
-145,-5,-20.000
-145,0,-20.000
-145,5,-20.000
-145,10,-20.000
-145,15,-20.000
-145,20,-20.000
-145,25,-20.000
-145,30,-20.000
-145,35,-20.000
-145,40,-20.000
-145,45,-20.000
-145,50,-20.000
-145,55,-20.000
-145,60,-20.000
-145,65,-20.000
-145,70,-20.000
-145,75,-20.000
-145,80,-20.000
-145,85,-20.000
-145,90,-20.000
-140,-90,-20.000
-140,-85,-20.000
-140,-80,-20.000
-140,-75,-20.000
-140,-70,-20.000
-140,-65,-20.000
-140,-60,-20.000
-140,-55,-20.000
-140,-50,-20.000
-140,-45,-20.000
-140,-40,-20.000
-140,-35,-20.000
-140,-30,-20.000
-140,-25,-20.000
-140,-20,-20.000
-140,-15,-20.000
-140,-10,-20.000
-140,-5,-20.000
-140,0,-20.000
-140,5,-20.000
-140,10,-20.000
-140,15,-20.000
-140,20,-20.000
-140,25,-20.000
-140,30,-20.000
-140,35,-20.000
-140,40,-20.000
-140,45,-20.000
-140,50,-20.000
-140,55,-20.000
-140,60,-20.000
-140,65,-20.000
-140,70,-20.000
-140,75,-20.000
-140,80,-20.000
-140,85,-20.000
-140,90,-20.000
-135,-90,-20.000
-135,-85,-20.000
-135,-80,-20.000
-135,-75,-20.000
-135,-70,-20.000
-135,-65,-20.000
-135,-60,-20.000
-135,-55,-20.000
-135,-50,-20.000
-135,-45,-20.000
-135,-40,-20.000
-135,-35,-20.000
-135,-30,-20.000
-135,-25,-20.000
-135,-20,-20.000
-135,-15,-20.000
-135,-10,-20.000
-135,-5,-20.000
-135,0,-20.000
-135,5,-20.000
-135,10,-20.000
-135,15,-20.000
-135,20,-20.000
-135,25,-20.000
-135,30,-20.000
-135,35,-20.000
-135,40,-20.000
-135,45,-20.000
-135,50,-20.000
-135,55,-20.000
-135,60,-20.000
-135,65,-20.000
-135,70,-20.000
-135,75,-20.000
-135,80,-20.000
-135,85,-20.000
-135,90,-20.000
-130,-90,-20.000
-130,-85,-20.000
-130,-80,-20.000
-130,-75,-20.000
-130,-70,-20.000
-130,-65,-20.000
-130,-60,-20.000
-130,-55,-20.000
-130,-50,-20.000
-130,-45,-20.000
-130,-40,-20.000
-130,-35,-20.000
-130,-30,-20.000
-130,-25,-20.000
-130,-20,-20.000
-130,-15,-20.000
-130,-10,-20.000
-130,-5,-20.000
-130,0,-20.000
-130,5,-20.000
-130,10,-20.000
-130,15,-20.000
-130,20,-20.000
-130,25,-20.000
-130,30,-20.000
-130,35,-20.000
-130,40,-20.000
-130,45,-20.000
-130,50,-20.000
-130,55,-20.000
-130,60,-20.000
-130,65,-20.000
-130,70,-20.000
-130,75,-20.000
-130,80,-20.000
-130,85,-20.000
-130,90,-20.000
-125,-90,-20.000
-125,-85,-20.000
-125,-80,-20.000
-125,-75,-20.000
-125,-70,-20.000
-125,-65,-20.000
-125,-60,-20.000
-125,-55,-20.000
-125,-50,-20.000
-125,-45,-20.000
-125,-40,-20.000
-125,-35,-20.000
-125,-30,-20.000
-125,-25,-20.000
-125,-20,-20.000
-125,-15,-20.000
-125,-10,-20.000
-125,-5,-20.000
-125,0,-20.000
-125,5,-20.000
-125,10,-20.000
-125,15,-20.000
-125,20,-20.000
-125,25,-20.000
-125,30,-20.000
-125,35,-20.000
-125,40,-20.000
-125,45,-20.000
-125,50,-20.000
-125,55,-20.000
-125,60,-20.000
-125,65,-20.000
-125,70,-20.000
-125,75,-20.000
-125,80,-20.000
-125,85,-20.000
-125,90,-20.000
-120,-90,-20.000
-120,-85,-20.000
-120,-80,-20.000
-120,-75,-20.000
-120,-70,-20.000
-120,-65,-20.000
-120,-60,-20.000
-120,-55,-20.000
-120,-50,-20.000
-120,-45,-20.000
-120,-40,-20.000
-120,-35,-20.000
-120,-30,-20.000
-120,-25,-20.000
-120,-20,-20.000
-120,-15,-20.000
-120,-10,-20.000
-120,-5,-20.000
-120,0,-20.000
-120,5,-20.000
-120,10,-20.000
-120,15,-20.000
-120,20,-20.000
-120,25,-20.000
-120,30,-20.000
-120,35,-20.000
-120,40,-20.000
-120,45,-20.000
-120,50,-20.000
-120,55,-20.000
-120,60,-20.000
-120,65,-20.000
-120,70,-20.000
-120,75,-20.000
-120,80,-20.000
-120,85,-20.000
